good_id,src,name,price
50,https://imgcdn.baiji.com.cn/images/201710/goods_img/12939_G_1508221840330.jpg,肺宁胶囊,19.00
51,https://imgcdn.baiji.com.cn/images/201706/goods_img/15363_G_1496287637508.jpg,双氧水（过氧化氢溶液）,5.00
52,https://imgcdn.baiji.com.cn/images/201807/goods_img/6330_G_1530853718524.jpg,加味藿香正气丸（浓缩丸）（加味藿香正气丸）,8.00
53,https://imgcdn.baiji.com.cn/images/201812/goods_img/6543_G_1546066462230.jpg,抗病毒口服液,33.00
54,https://imgcdn.baiji.com.cn/images/201906/goods_img/16942_G_1560938598337.jpg,三金片,26.00
55,https://imgcdn.baiji.com.cn/images/201510/goods_img/11271_G_1445307154260.jpg,清热祛湿颗粒,17.00
56,https://imgcdn.baiji.com.cn/images/201312/goods_img/6067_G_1386840993248.jpg,禾穗速效（氨咖黄敏胶囊）,8.00
57,https://imgcdn.baiji.com.cn/images/201703/goods_img/15006_G_1490077846162.jpg,藿香正气丸(浓缩丸),15.00
58,https://imgcdn.baiji.com.cn/images/201603/goods_img/13364_G_1458877736721.jpg,知柏地黄丸,13.00
59,https://imgcdn.baiji.com.cn/images/201704/goods_img/14388_G_1492492473739.jpg,康齿宁牙齿脱敏乳膏,7.00
60,https://imgcdn.baiji.com.cn/images/201903/goods_img/15216_G_1553241335707.jpg,心宝丸,58.00
61,https://imgcdn.baiji.com.cn/images/201603/goods_img/6224_G_1458109623409.jpg,舒利迭（沙美特罗替卡松粉吸入剂）,155.00
62,https://imgcdn.baiji.com.cn/images/201403/goods_img/6550_G_1395713170441.jpg,治咳川贝枇杷露,19.50
63,https://imgcdn.baiji.com.cn/images/201808/goods_img/5797_G_1534838442263.jpg,科达琳（复方氨酚肾素片）,25.50
64,https://imgcdn.baiji.com.cn/images/201710/goods_img/7672_G_1509067100798.jpg,云南白药胶囊,21.00
65,https://imgcdn.baiji.com.cn/images/201706/goods_img/15401_G_1497945424127.jpg,前列康（普乐安片）,20.00
66,https://imgcdn.baiji.com.cn/images/201401/goods_img/5790_G_1388651560501.jpg,必理通（对乙酰氨基酚片）,7.50
67,https://imgcdn.baiji.com.cn/images/201307/goods_img/6512_G_1374819516197.jpg,正露丸,46.50
68,https://imgcdn.baiji.com.cn/images/201708/goods_img/7483_G_1503993254817.jpg,博利康尼（硫酸特布他林雾化液）,148.00
69,https://imgcdn.baiji.com.cn/images/201811/goods_img/16419_G_1543470361167.jpg,散利痛（复方对乙酰氨基酚片(Ⅱ)）,16.30
70,https://imgcdn.baiji.com.cn/images/201308/goods_img/6440_G_1376271499917.jpg,一力咳特灵胶囊（咳特灵胶囊）,12.00
71,https://imgcdn.baiji.com.cn/images/201907/goods_img/16795_G_1563862845695.jpg,清咽滴丸,38.00
72,https://imgcdn.baiji.com.cn/images/201912/goods_img/17519_G_1576482409888.jpg,张恒春（小柴胡颗粒）,12.00
73,https://imgcdn.baiji.com.cn/images/201711/goods_img/10329_G_1510888882036.jpg,跌打万花油,2.50
74,https://imgcdn.baiji.com.cn/images/201908/goods_img/6057_G_1565590028304.jpg,玫满（盐酸米诺环素胶囊）,58.00
75,https://imgcdn.baiji.com.cn/images/201905/goods_img/7529_G_1558404246207.jpg,健胃消食片,10.50
76,https://imgcdn.baiji.com.cn/images/201807/goods_img/9445_G_1533003811079.jpg,顺尔宁（孟鲁司特钠咀嚼片）,36.00
77,https://imgcdn.baiji.com.cn/images/201803/goods_img/13233_G_1522035644661.jpg,701跌打镇痛膏（跌打镇痛膏）,22.00
78,https://imgcdn.baiji.com.cn/images/201311/goods_img/6544_G_1385539838986.jpg,京都念慈菴蜜炼川贝枇杷膏,33.80
79,https://imgcdn.baiji.com.cn/images/201709/goods_img/10788_G_1504513542767.jpg,甘桔冰梅片,38.00
80,https://imgcdn.baiji.com.cn/images/201804/goods_img/14586_G_1523239458335.jpg,金嗓子喉片（铁盒）（金嗓子喉片）,23.00
81,https://imgcdn.baiji.com.cn/images/201909/goods_img/17154_G_1568700347391.jpg,固精麦斯哈胶囊,58.00
82,https://imgcdn.baiji.com.cn/images/201905/goods_img/16901_G_1559294156266.jpg,养血生发胶囊,12.00
83,https://imgcdn.baiji.com.cn/images/201903/goods_img/16638_G_1553060314066.jpg,蓝芩口服液,49.80
84,https://imgcdn.baiji.com.cn/images/201411/goods_img/12812_G_1416362568998.jpg,虫草清肺胶囊（OTC）（虫草清肺胶囊）,32.00
85,https://imgcdn.baiji.com.cn/images/201308/goods_img/6548_G_1376271006046.jpg,蛇胆川贝枇杷膏,27.80
86,https://imgcdn.baiji.com.cn/images/201308/goods_img/10304_G_1375424556234.jpg,复方氢溴酸东莨菪碱贴膏,9.00
87,https://imgcdn.baiji.com.cn/images/201712/goods_img/15624_G_1512961001552.jpg,头孢克肟胶囊,10.00
88,https://imgcdn.baiji.com.cn/images/201712/goods_img/12849_G_1512349875880.jpg,苁蓉通便口服液,32.00
89,https://imgcdn.baiji.com.cn/images/201805/goods_img/15882_G_1527575817773.jpg,维C银翘片,8.00
90,https://imgcdn.baiji.com.cn/images/202006/goods_img/17706_G_1591147397017.jpg,复方樟薄软膏,7.00
91,https://imgcdn.baiji.com.cn/images/201711/goods_img/6086_G_1510630453733.jpg,泛捷复（头孢拉定胶囊）,29.50
92,https://imgcdn.baiji.com.cn/images/201711/goods_img/6406_G_1510889567220.jpg,金喉健喷雾剂,28.00
93,https://imgcdn.baiji.com.cn/images/201905/goods_img/6537_G_1558403859106.jpg,保济口服液,20.00
94,https://imgcdn.baiji.com.cn/images/201709/goods_img/15224_G_1504511955063.jpg,爱赛平（盐酸氮卓斯汀鼻喷剂）,52.00
95,https://imgcdn.baiji.com.cn/images/201710/goods_img/15501_G_1508224024935.jpg,红草止鼾胶囊,48.00
96,https://imgcdn.baiji.com.cn/images/202004/goods_img/17258_G_1588062679502.jpg,清热消炎宁胶囊,16.00
97,https://imgcdn.baiji.com.cn/images/201910/goods_img/17303_G_1571116590785.jpg,乳娜茯苓清颜补水霜,89.00
98,https://imgcdn.baiji.com.cn/images/pic5/300/221040_2_2.jpg,咽炎片,29.80
99,https://imgcdn.baiji.com.cn/images/201308/goods_img/6424_G_1376270765937.jpg,急支糖浆,28.80
100,https://imgcdn.baiji.com.cn/images/201311/goods_img/7840_G_1385541846883.jpg,橘红痰咳液,15.00
101,https://imgcdn.baiji.com.cn/images/201804/goods_img/11249_G_1523239637492.jpg,玉屏风颗粒,26.00
102,https://imgcdn.baiji.com.cn/images/201812/goods_img/16338_G_1543990330992.jpg,克咳胶囊,19.00
103,https://imgcdn.baiji.com.cn/images/201811/goods_img/9586_G_1542180572095.jpg,福牌阿胶（阿胶）,580.00
104,https://imgcdn.baiji.com.cn/images/201805/goods_img/15884_G_1527571192895.jpg,维生素B1片,5.00
105,https://imgcdn.baiji.com.cn/images/201811/goods_img/16428_G_1543470261956.jpg,足光散,10.00
106,https://imgcdn.baiji.com.cn/images/201910/goods_img/17289_G_1571039609819.jpg,东阳光幸而有你微藻平衡精华乳,159.00
107,https://imgcdn.baiji.com.cn/images/202002/goods_img/17648_G_1581584131542.jpg,力度伸（维生素C泡腾片（橙味））,88.00
108,https://imgcdn.baiji.com.cn/images/pic7/300/131023_2_2.jpg,利福平胶囊,25.00
109,https://imgcdn.baiji.com.cn/images/201712/goods_img/15625_G_1512968619689.jpg,四磨汤口服液,25.00
110,https://imgcdn.baiji.com.cn/images/201909/goods_img/17230_G_1569474527477.jpg,还少胶囊,65.00
111,https://imgcdn.baiji.com.cn/images/201307/goods_img/5825_G_1374806704551.jpg,加合百服宁（酚咖片）,13.00
112,https://imgcdn.baiji.com.cn/images/201308/goods_img/7116_G_1375690977458.jpg,盐酸异丙嗪片,15.00
113,https://imgcdn.baiji.com.cn/images/201709/goods_img/7479_G_1504511762579.jpg,立复汀（盐酸左卡巴斯汀鼻喷雾剂）,37.00
114,https://imgcdn.baiji.com.cn/images/201704/goods_img/15222_G_1492485277986.jpg,裸花紫珠片,29.60
115,https://imgcdn.baiji.com.cn/images/201706/goods_img/15358_G_1496295961950.jpg,善存R小佳维咀嚼片（香甜柠檬味）,110.00
116,https://imgcdn.baiji.com.cn/images/201903/goods_img/15763_G_1552886264114.jpg,汤臣倍健牌蛋白粉礼盒装,328.00
117,https://imgcdn.baiji.com.cn/images/201910/goods_img/17291_G_1571041109368.jpg,东阳光幸而有你微藻舒缓精华眼霜,139.00
118,https://imgcdn.baiji.com.cn/images/201603/goods_img/6581_G_1458535168990.jpg,肺力咳合剂,30.00
119,https://imgcdn.baiji.com.cn/images/201710/goods_img/9456_G_1507775342370.jpg,顺尔宁（孟鲁司特钠颗粒）,56.00
120,https://imgcdn.baiji.com.cn/images/201711/goods_img/14403_G_1510626433136.jpg,谷维素片,17.50
121,https://imgcdn.baiji.com.cn/images/201910/goods_img/14810_G_1571218782010.jpg,补肺丸,298.00
122,https://imgcdn.baiji.com.cn/images/201909/goods_img/17257_G_1569806155804.jpg,切诺（桉柠蒎肠溶软胶囊）,36.00
123,https://imgcdn.baiji.com.cn/images/202001/goods_img/17542_G_1578278730717.jpg,乳娜冬虫夏草美白净斑面霜,358.00
124,https://imgcdn.baiji.com.cn/images/201905/goods_img/12835_G_1559280582565.jpg,二陈丸,30.00
125,https://imgcdn.baiji.com.cn/images/201612/goods_img/15060_G_1480670040441.jpg,莲芝消炎胶囊(OTC)（莲芝消炎胶囊）,9.00
126,https://imgcdn.baiji.com.cn/images/201907/goods_img/15305_G_1563867327678.jpg,毕诺（曲安奈德鼻喷雾剂）,25.00
127,https://imgcdn.baiji.com.cn/images/201712/goods_img/15599_G_1512962378632.jpg,复方双花片,46.00
128,https://imgcdn.baiji.com.cn/images/201908/goods_img/17143_G_1567130947651.jpg,京万红软膏,45.00
129,https://imgcdn.baiji.com.cn/images/201910/goods_img/17311_G_1571123615903.jpg,乳娜葡萄柚精油身体乳,49.00
130,https://imgcdn.baiji.com.cn/images/202004/goods_img/17957_G_1587608657786.jpg,意可贴（醋酸地塞米松口腔贴片）,25.00
131,https://imgcdn.baiji.com.cn/images/201812/goods_img/6579_G_1545973647726.jpg,小儿七星茶颗粒,19.00
132,https://imgcdn.baiji.com.cn/images/201702/goods_img/15053_G_1487237792906.jpg,三拗片,45.00
133,https://imgcdn.baiji.com.cn/images/201901/goods_img/15815_G_1548645850204.jpg,左归丸,118.00
134,https://imgcdn.baiji.com.cn/images/201903/goods_img/16493_G_1553240266434.jpg,优朋（盐酸安妥沙星片）,90.00
135,https://imgcdn.baiji.com.cn/images/201411/goods_img/12830_G_1416365520435.jpg,通宣理肺丸,12.00
136,https://imgcdn.baiji.com.cn/images/201703/goods_img/15004_G_1490078630990.jpg,蜜炼川贝枇杷膏（京都念慈菴蜜炼川贝枇杷膏）,56.80
137,https://imgcdn.baiji.com.cn/images/201806/goods_img/15923_G_1529559162702.jpg,卡奇尔（维D2磷葡钙片）,98.00
138,https://imgcdn.baiji.com.cn/images/201812/goods_img/16134_G_1543990697134.jpg,复方桔梗止咳片,15.00
139,https://imgcdn.baiji.com.cn/images/201910/goods_img/17328_G_1570784734802.jpg,乳娜冬虫夏草原液精华眼霜,388.00
140,https://imgcdn.baiji.com.cn/images/201704/goods_img/6229_G_1492480186842.jpg,辅舒酮（丙酸氟替卡松吸入气雾剂）,82.00

